athlete_id,name,born_date,born_country,NOC,country_noc
32798,Pavel Mikeš,1950-07-27,CZE,Czechoslovakia,TCH
32799,Jan Novák,1960-04-05,CZE,Czechoslovakia,TCH
32800,Ján Packa,1952-05-22,SVK,Czechoslovakia,TCH
32801,Jaroslav Papiernik,1952-02-14,SVK,Czechoslovakia,TCH
32802,Peter Pospíšil,1944-04-24,SVK,Czechoslovakia,TCH
32803,Bohumír Prokop,1968-08-04,CZE,Czechoslovakia,TCH
32804,Ivan Satrapa,1946-07-13,CZE,Czechoslovakia,TCH
32805,Ján Sedláček,1968-08-14,SVK,Czechoslovakia,TCH
32806,Martin Šetlík,1969-08-12,CZE,Czechoslovakia,TCH
32807,Jozef Škandík,1963-07-13,SVK,Czechoslovakia,TCH
32808,Zdeněk Škára,1950-02-23,CZE,Czechoslovakia,TCH
